"","X359","X361","X363","X365","X367","X371","X373","X375","X379"
"adi2mcaRNA17502_R0",3515,3373,2740,1936,1913,2225,2084,2522,1494
"g21716",524,567,568,696,452,693,559,338,785
"g21714",199,193,219,176,172,242,224,103,201
"g21710",801,927,1079,1230,601,1183,1028,810,1147
"g35549",8431,7326,9452,5756,7650,5905,4494,8052,5484
"g50130",493,513,281,120,161,99,64,155,82
"g7652",1143,1144,1669,1379,1298,1641,1144,923,1911
"g7653",998,841,1069,774,763,654,542,817,677
"g55565",1778,1730,2088,1973,1729,2049,1481,1456,2022
"g39880",151,166,192,170,103,87,65,170,81
"g1371",39,49,40,49,50,88,52,40,95
"g45283",83,54,80,44,58,29,21,69,46
"g1375",1714,1781,2716,2377,2689,2972,2100,2192,2734
"adi2mcaRNA29406_R0",517,593,774,566,533,671,577,411,813
"g41941",39,58,58,32,41,95,83,9,111
"g41942",6237,6393,7484,6433,7017,11686,11332,4920,10127
"adi2mcaRNA21193_R0",8886,8907,9902,9806,8415,9499,10292,7962,10932
"g33595",1143,1090,1675,1730,1013,1405,1323,974,1636
"g33594",1767,1895,2192,1894,2063,2886,2147,1850,2824
"g7651",179,193,278,217,216,308,167,199,319
"g38026",133,152,201,188,141,250,155,112,281
"g38027",1197,1123,1820,1206,1120,1702,1353,845,1634
"g36344",484,593,588,456,360,308,309,493,378
"g36343",152,137,138,116,131,78,38,127,62
"g25292",113,110,163,63,84,56,67,131,35
"g37692",833,818,963,996,865,1239,1169,800,1214
"g25969",5742,5217,6282,3763,4815,3675,2981,4407,4001
"g31698",1173,1310,2078,1947,2174,2587,1967,1338,2204
"g31699",2476,2261,2682,1955,2127,1732,1246,2205,1722
"g37969",387,462,424,432,349,262,155,313,279
"g61068",5039,5691,6785,6770,7923,9645,6975,5767,9293
"g55558",3248,3250,3834,3146,3795,4242,3329,3122,4348
"g27956",495,481,648,555,472,561,416,324,698
"g41354",595,726,901,725,600,945,666,671,986
"g36478",45,91,160,112,122,99,106,46,101
"adi2mcaRNA10307_R0",505,473,493,298,349,325,253,345,314
"g32960",1261,1093,1404,815,954,838,582,1215,680
"g32965",801,744,851,602,585,565,395,617,521
"g60074",3669,3668,2996,2332,2110,2241,1631,2064,1751
"g60077",33,51,58,42,30,20,6,38,20
"g60073",586,560,1084,959,867,772,518,499,882
"g52454",327,330,379,361,349,368,323,243,430
"adi2mcaRNA33811_R0",205,369,187,159,118,161,57,273,96
"g50761",1230,1286,1309,1173,703,1494,1130,735,1687
"g50760",2323,2824,1763,1646,1362,2764,2551,1248,2891
"g69137",1307,1441,1717,1280,1419,1523,1227,1076,1792
"g61309",779,1051,1290,1162,1211,1761,925,872,1335
"g51428",1127,1176,1686,1496,1712,2134,1380,1565,1741
"g15578",1325,1261,1863,1892,1625,1839,1451,1523,1773
"g67640",623,685,496,492,542,1679,1741,212,1467
"g41358",225,198,197,101,171,87,69,105,72
"g44186",2093,1980,1832,1465,1579,1282,1122,1409,1309
"adi2mcaRNA29406_R3",213,273,275,205,130,173,81,289,140
"g49294",1942,2011,1841,1535,1311,1572,1060,1596,1160
"g49299",393,456,549,450,448,665,451,378,580
"g15271",736,593,436,503,241,510,237,566,400
"g18629",153,150,213,280,256,206,178,112,283
"adi2mcaRNA13039_R0",129,94,153,87,86,181,124,70,137
"g45329",8149,8156,8785,6735,7264,6600,4321,7351,6473
"adi2mcaRNA23633_R0",601,568,668,456,613,1269,1476,414,840
"g36951",6468,8507,7119,6802,5016,5239,3524,6197,4940
"g13155",28,21,70,41,45,78,88,6,110
"g45334",239,209,244,180,249,267,296,159,254
"g46745",499,542,579,468,481,332,301,488,400
"g16308",362,315,485,562,410,684,621,306,779
"g38273",969,713,861,758,679,403,288,616,369
"g599",241,356,982,1133,596,781,487,268,680
"g3668",1067,1221,1317,1297,1215,1385,934,781,1346
"g24483",1954,1591,2651,2033,2083,2657,1583,1820,3404
"g31011",986,899,1144,767,737,713,647,1180,462
"g22504",2162,1933,2031,1438,1662,1393,955,1705,1278
"g22509",376,340,525,486,265,523,404,272,509
"adi2mcaRNA2729_R1",4322,3589,4468,3361,3139,2715,2070,3556,2876
"g41798",4384,4515,4765,3777,3461,3722,2589,4029,3572
"g55847",410,341,324,294,311,247,198,312,234
"adi2mcaRNA4698_R0",2569,2541,3003,2829,2706,4117,3414,1773,4035
"g28142",542,475,584,263,375,239,173,354,373
"g48214",1653,1623,1724,924,1167,984,739,1390,925
"g48212",281,260,348,340,216,339,299,212,361
"g58596",370,441,352,353,348,590,436,286,476
"g58597",612,541,673,797,732,664,649,502,781
"g4648",1679,1475,1574,1150,1101,1020,830,1126,1149
"g10864",176,177,232,241,162,199,310,138,243
"g3344",346,191,216,368,317,423,234,180,492
"adi2mcaRNA29697_R0",1729,1631,1857,1302,1431,1131,632,1781,1214
"g12854",267,191,202,182,195,120,125,261,128
"adi2mcaRNA13_R1",184,158,263,151,185,76,85,165,95
"g35150",6326,7077,7076,7715,5199,8985,6106,4947,8493
"g35487",262,275,565,539,396,378,291,240,452
"g35482",3873,3830,2919,2322,2147,2219,1489,2942,1536
"g7331",45,54,67,12,37,20,15,47,18
"g52080",835,803,1138,1101,900,1030,704,694,1079
"g24147",2335,2107,3001,2724,2346,2745,2152,1312,3285
"adi2mcaRNA29946_R0",3232,2769,3530,2324,2616,2225,1461,2870,2244
"adi2mcaRNA36181_R0",20,8,70,31,34,15,54,12,40
"g40686",967,1205,1328,1335,1207,1563,1284,956,1614
"adi2mcaRNA9037_R0",444,515,732,753,535,696,561,291,772
"adi2mcaRNA21392_R0",1504,1574,1906,1670,1315,1824,1425,1009,2032
"g26437",1950,1790,2254,1448,1809,1410,1144,1797,1193
"g36441",694,602,828,520,559,472,343,611,518
"g32351",1853,1691,2240,1381,1690,1205,1041,1725,1324
"g32357",4165,3917,3839,4616,2966,5107,4003,2833,4831
"adi2mcaRNA8162_R0",1615,1676,1825,1997,1033,2164,1438,1041,2009
"g41673",5433,5141,5784,3382,4326,3445,3202,4634,3784
"g41672",3520,3115,3764,2481,2660,2482,1940,2877,2108
"g38331",5608,5303,6654,6007,6921,7743,5605,5721,7449
"g64409",224,187,376,273,241,321,246,218,287
"g34997",1064,1124,1181,1056,894,1327,951,915,1271
"g34992",204,103,208,244,206,320,180,98,294
"g45705",3231,2704,3420,2371,2358,2220,1759,2375,2238
"g46958",2955,3177,3206,3720,2280,3928,3202,2503,4155
"g70058",148,121,152,123,87,201,169,124,173
"adi2mcaRNA13683_R2",63,57,111,59,62,82,72,39,106
"g31927",41211,35759,50139,30636,31838,22730,17437,34836,24315
"g62117",17358,19213,22800,17642,17333,20324,15073,14509,23413
"g57630",8394,10356,9246,9377,8853,11331,8097,5831,11249
"g57631",161,210,207,230,175,330,239,117,347
"g53604",1214,1454,1542,1534,1029,1845,1525,1241,1485
"g34655",147,122,141,134,109,103,33,96,60
"g34654",567,614,593,561,465,723,467,343,783
"g60700",577,525,629,449,412,431,275,497,381
"g56271",83,73,51,36,30,55,15,63,29
"g56270",263,286,235,217,146,167,124,233,173
"g48008",889,809,800,663,613,593,469,699,585
"g10884",1161,1138,1213,856,890,804,517,960,677
"adi2mcaRNA41444_R0",2710,2563,3014,2567,1850,3441,2833,2112,4061
"g43433",1052,1143,645,363,561,305,339,366,421
"g32972",1078,1134,1150,1059,795,1195,1131,775,1270
"g32973",827,655,858,547,630,484,363,657,566
"g38614",249,305,291,91,204,106,122,163,132
"g45999",283,260,298,358,197,369,320,190,379
"g40310",310,277,514,428,390,428,418,335,487
"g40317",316,318,415,293,304,416,270,211,405
"g15232",109,112,100,103,116,152,182,104,141
"adi2mcaRNA39053_R0",118,89,147,99,116,174,114,76,151
"g29740",1380,1342,2164,1810,2175,2314,1651,1808,2237
"g14720",77,85,140,135,89,52,40,144,35
"g28824",1063,1126,1539,1381,821,1511,1028,737,1343
"g19954",6953,8606,9242,8662,5793,10076,6366,4583,9444
"g43777",90,75,70,52,98,58,38,129,38
"g43779",615,680,1051,978,558,441,248,779,498
"g21554",1844,1969,2322,2229,2291,2936,2247,2024,2994
"g21557",150,149,125,97,117,201,183,60,189
"g25424",134,191,301,227,245,201,223,118,261
"g25426",2441,2292,2726,1639,2131,1591,1210,2001,1516
"g45536",7040,7809,7337,6253,5405,9779,7565,6202,10003
"g29880",648,613,1141,967,1024,988,729,535,1027
"g29885",5294,4338,6248,3580,4354,3417,2825,4507,3288
"g46859",1583,1653,2425,2623,2302,2395,1550,1527,2022
"g29222",557,367,635,313,470,374,203,517,283
"g29220",2811,2625,3118,1770,2428,1829,1624,2402,1961
"g29229",194,163,193,155,150,93,73,115,100
"g36061",751,680,478,328,277,241,152,413,177
"g23969",195,195,94,66,108,100,84,102,51
"g3564",81,120,239,164,166,177,121,86,223
"g44890",342,272,322,223,246,176,165,309,187
"g68777",217,177,238,200,163,232,204,113,264
"g65537",141,113,85,88,84,47,48,79,60
"g26872",1707,1865,2499,2268,2363,2584,1925,1663,2435
"g26870",2074,2023,2082,1586,1904,1575,1107,1681,1472
"g26875",508,579,1134,1148,979,834,586,518,1054
"g7286",147,117,242,176,178,193,155,124,223
"g12781",20,57,84,74,89,83,44,21,68
"g3450",837,816,626,440,381,626,315,519,447
"g3452",405,489,710,590,334,937,669,400,912
"g53594",4682,4703,4360,2877,3143,2670,2086,2692,2893
"g4222",1586,1295,1419,1211,912,1214,776,1692,1108
"g42620",1009,813,1042,581,692,573,381,718,623
"g49274",50,39,33,20,23,27,10,46,13
"g48263",1540,1644,1618,1512,1643,1929,1288,1080,1856
"g33940",2590,2542,2865,2748,1960,3260,2970,1859,3389
"g33943",3772,3503,4011,2741,3271,2739,2318,3106,2428
"g39631",880,965,1283,1289,662,1363,840,694,1195
"g34444",389,478,528,491,404,519,403,199,482
"g62436",263,270,394,345,222,424,306,203,299
"adi2mcaRNA36295_R0",374,307,398,155,261,84,73,238,121
"g62389",4211,4757,5118,4874,3683,5565,4329,3662,5876
"g43306",2205,1890,2440,1814,1997,1515,1234,1910,1428
"g1488",180,167,50,43,31,31,22,51,11
"adi2mcaRNA12617_R0",1107,1014,1335,784,949,836,446,945,739
"g22587",448,368,572,276,524,309,174,484,276
"g34503",1308,1161,1346,875,1168,854,596,1040,973
"g31401",177,252,298,245,225,357,296,137,346
"g29800",182,133,195,176,175,190,166,100,215
"g32261",71,64,58,57,44,24,26,55,30
"g8795",246,245,591,555,637,603,554,255,807
"g24189",213,357,732,602,522,1118,747,379,1284
"g67842",292,213,330,338,260,389,254,203,339
"g67849",17025,16603,16657,13794,13234,13566,9201,12780,12663
"g13815",862,595,819,618,585,986,633,412,818
"g21691",529,383,528,452,423,585,513,404,555
"g47559",231,204,204,183,238,359,418,79,564
"g58262",858,814,939,556,707,600,485,747,523
"g58622",611,612,657,464,528,363,273,529,420
"g9356",687,655,841,852,764,1233,783,664,1217
"g57203",881,875,1027,943,1011,1126,801,737,1167
"g61995",1744,1855,2347,2142,1977,2729,2009,1924,2944
"adi2mcaRNA7495_R0",2023,2100,2066,2104,1489,2695,1800,1273,2773
"g17901",1073,1021,1424,1174,1248,1400,1034,914,1150
"g39439",856,893,1518,979,1319,1145,765,738,1289
"g39386",64,138,63,31,28,15,13,8,22
"g55115",3,17,14,16,17,68,34,12,47
"g61468",2800,2800,3134,2244,2521,1855,1588,2583,2133
"g59672",77,71,96,70,60,111,75,34,106
"g52666",847,991,1101,1028,1232,1386,1137,963,1104
"g52667",917,1031,1019,993,1197,1355,935,832,1249
"g52668",346,402,542,578,505,911,806,325,1043
"adi2mcaRNA21388_R0",109,112,169,126,112,204,115,118,164
"g57184",2201,1897,2627,1599,2202,1351,1264,1991,1522
"adi2mcaRNA27218_R0",2069,1950,2016,1341,1437,1546,1096,1422,1301
"g53225",3845,4447,4019,3306,3680,2890,2153,3150,2765
"g53221",589,541,662,505,544,433,312,420,320
"g43940",430,298,515,401,589,666,357,332,721
"g49978",481,471,624,635,499,578,456,323,635
"g34451",3458,3060,3117,2212,2160,2172,1837,2278,2202
"g43056",3679,3820,3947,3828,2848,4547,3910,2709,4734
"g37104",6990,8365,10869,10471,11402,11199,8386,7381,12305
"g37105",925,808,1099,1147,1124,1267,1180,867,1251
"g29674",321,345,340,293,259,442,345,279,378
"g29672",486,513,304,184,201,154,124,124,101
"g56706",1364,1362,1506,1228,1268,1769,1172,992,1546
"g42830",866,989,1216,1215,1085,1360,1112,947,1340
"g23828",42856,41125,49507,36516,38580,34105,25023,45877,31763
"g22425",237,229,417,328,383,464,254,287,379
"g22428",475,464,733,858,750,609,502,350,916
"g60137",735,646,884,990,510,935,758,594,991
"g33302",723,630,704,698,564,898,636,439,764
"g56143",887,767,1090,726,625,587,323,882,544
"g48081",344,413,423,386,358,637,416,323,441
"g48088",8326,9026,10338,10115,8910,10816,6918,6216,11213
"g3970",45,84,191,133,249,196,152,15,457
"g3795",5295,4863,6097,3972,4900,3829,2836,4452,4135
"g29180",2432,2119,3548,3068,2745,3204,2370,2431,3539
"g38363",144,122,251,242,267,218,182,116,249
"g24977",426,397,493,309,353,258,166,421,297
"g41046",86,119,39,13,33,25,20,17,12
"adi2mcaRNA17864_R1",83,103,158,125,120,150,132,88,151
"g53879",204,183,108,89,108,104,85,115,85
"adi2mcaRNA17151_R1",863,812,1332,967,864,1031,801,783,998
"adi2mcaRNA35036_R0",2489,1980,3073,1651,2388,1216,1000,2147,1508
"g53131",1204,1451,1454,1352,1288,1593,1177,1023,1488
"g23310",2435,2392,2521,2098,2012,2851,1806,1731,2728
"g12672",559,453,550,327,362,323,211,463,425
"g50749",593,684,671,730,450,851,795,442,1006
"g46004",2061,2498,3198,2738,2817,3606,2441,1897,2794
"g46007",1470,1201,1611,753,1035,785,670,937,872
"adi2mcaRNA19518_R0",314,296,336,240,232,193,122,269,138
"g30596",207,229,217,205,186,273,201,124,263
"g44690",2328,2444,5165,4696,3863,3994,3046,2718,4427
"adi2mcaRNA36908_R0",231,360,114,94,132,168,62,208,54
"g31033",501,543,598,492,459,686,408,311,657
"g44523",97,89,63,48,82,26,9,93,32
"adi2mcaRNA10631_R0",1086,800,1257,758,816,579,515,794,699
"g64367",163,216,153,144,106,126,66,135,93
"g18530",390,440,499,567,785,733,589,470,777
"g18531",233,241,328,457,202,367,224,141,367
"g30079",649,502,590,356,493,397,298,463,326
"g46587",198,168,249,148,124,110,83,185,102
"g71608",770,820,633,818,442,991,773,466,1152
"g30071",399,360,406,158,300,225,165,302,232
"adi2mcaRNA18922_R0",304,338,160,100,140,124,79,114,106
"g30625",1457,1298,1422,1136,1114,1153,703,1253,1097
"adi2mcaRNA4287_R0",3207,2685,3475,2484,2546,2267,1609,2541,2316
"g31809",170,132,91,59,53,67,51,75,73
"g8096",210,259,231,311,212,325,322,162,379
"g35595",1065,968,1068,1082,953,1037,926,687,1451
"g37313",8007,8309,9092,7393,6965,10446,7448,5755,11391
"g28936",1406,1068,1408,686,1028,666,683,1081,806
"g67798",943,913,1015,765,865,720,496,820,741
"g57176",2143,2177,2716,2226,2358,2711,1906,1932,2501
"g25994",2455,2745,2621,2470,2385,3202,2045,1562,2959
"g70218",208,203,312,311,266,361,200,149,276
"adi2mcaRNA13429_R0",697,560,721,609,455,344,285,602,450
"g20013",440,463,596,412,605,642,413,397,669
"g61659",320,335,631,698,605,548,306,294,480
"g51633",428,415,493,422,310,465,396,299,545
"g51637",174,183,290,363,264,690,460,143,708
"g51634",2948,3236,3702,3777,3276,4273,2815,2953,3996
"g51635",8862,9900,10178,8531,7816,10545,7647,6732,9979
"g51638",2296,2598,2866,2635,2417,3081,2504,1502,3180
"g58759",419,525,635,611,764,855,664,589,715
"g58753",256,234,292,309,280,419,265,204,325
"g51181",1830,2085,2560,2637,2559,3846,2952,1807,3859
"g51183",1638,1559,1715,2010,1095,2001,1443,1093,1999
"adi2mcaRNA11640_R1",442,397,561,572,449,594,379,249,496
"adi2mcaRNA19715_R0",613,681,1020,426,591,397,268,609,416
"g2588",499,466,763,719,709,679,431,484,658
"g60885",643,629,659,626,657,897,546,394,848
"g60884",343,286,402,365,278,389,299,217,364
"g14043",95,73,158,139,165,191,127,118,167
"adi2mcaRNA8453_R2",625,873,1167,1076,1091,1032,965,774,1336
"g53116",1196,1201,1233,1408,717,1655,1180,888,1779
"g53111",2304,2280,3222,3080,3519,4502,3011,2693,4074
"g71105",697,758,595,392,417,443,316,615,485
"g31329",1224,1240,1362,1429,1337,1302,1359,852,2061
"g35271",4721,4518,4898,3647,3650,3531,2822,3835,3639
"g14871",1394,1382,1932,1800,1540,2219,1578,1465,2365
"g37555",1836,1750,1969,1961,1489,2184,1766,1406,2029
"g22675",693,633,728,618,667,549,360,661,488
"g22677",133,117,263,201,215,179,199,176,248
"g22835",410,379,448,245,295,226,180,308,249
"g58019",742,593,678,590,563,458,308,875,405
"g37884",40,111,136,124,112,102,143,61,189
"g37889",79,63,80,90,104,182,166,123,188
"adi2mcaRNA28341_R1",78,74,75,98,81,106,83,54,128
"g18352",153,171,172,160,158,256,193,92,214
"g60980",3310,3598,4494,3760,4621,5140,3725,3778,4675
"g60982",395,367,465,437,278,302,128,401,196
"g66822",701,756,788,716,680,880,598,360,1008
"g66825",2167,2533,2116,2477,1414,3043,2492,1453,3369
"g23101",7479,6292,8101,4709,5906,4018,3517,6114,4381
"g49263",98,106,226,131,161,209,157,134,200
"g49264",1730,1791,2081,1256,1600,1238,941,1603,1167
"g49265",5451,4925,5751,4363,4707,3947,3034,4185,4190
"g35909",240,278,204,201,181,401,334,188,380
"g35330",138,151,101,87,73,82,72,121,89
"g47145",1229,1275,1309,1284,971,1433,1112,876,1516
"g38246",110,92,118,85,91,50,42,100,69
"g25503",4321,4311,5223,4489,4838,6080,4224,4497,5439
"g25502",2864,3093,3654,2862,3403,3857,2947,2491,4233
"g33190",2357,2357,2701,1909,2233,1462,1296,2238,1544
"g29340",3336,3397,3413,3312,2465,2605,1820,2855,2262
"g22993",1815,1715,2110,1550,1575,1333,1092,1499,1316
"g22995",304,252,383,400,222,401,280,215,456
"g22998",1107,989,1050,743,738,678,485,675,745
"g22336",218,185,379,317,323,286,260,108,392
"adi2mcaRNA18940_R0",101,128,150,108,87,210,98,59,169
"g10183",205,175,221,268,256,269,281,185,263
"g10181",137,106,107,91,84,32,55,115,61
"g10184",3793,4124,4535,4556,4498,5848,4098,3702,5712
"g10189",739,721,704,660,329,895,786,471,1078
"g2076",1392,1491,1842,2066,2355,2666,2139,1503,2844
"g60401",1041,979,1392,1017,796,1268,985,707,1489
"g60402",922,1002,952,710,836,745,573,901,666
"g61754",224,156,175,118,174,76,96,136,111
"g68181",1770,1724,1761,1370,1324,986,974,1163,1133
"g48825",736,674,710,779,687,867,684,496,948
"g17323",946,792,1275,1049,900,1116,685,566,953
"g9153",1075,790,862,385,642,349,385,490,430
"g58547",184,193,199,221,125,257,292,98,320
"g53737",3753,4038,5260,4985,5125,8238,6904,3998,8512
"g58543",134,196,149,176,164,209,191,93,211
"g53730",1359,1256,1637,1170,1167,943,685,1216,824
"g44798",2438,2496,3114,3106,2334,4152,3073,2041,4592
"g44797",391,390,610,512,551,516,548,357,555
"g4143",704,726,965,750,790,1095,824,735,993
"g4142",734,741,1019,868,916,1020,710,752,1214
"g49467",1290,1013,1532,1231,1085,820,544,956,832
"g49463",1080,1112,913,695,661,745,475,722,694
"g45770",3176,2982,4079,3707,4163,4622,3149,3229,5008
"adi2mcaRNA23326_R0",7526,7414,8235,5467,5963,5006,4205,5659,5489
"adi2mcaRNA11392_R0",240,233,186,126,175,123,125,193,145
"g54332",63778,72786,74272,64869,56313,79218,54257,49636,78824
"g43322",7894,8487,12000,11733,9280,12515,8103,8533,13053
"g43321",499,515,621,653,552,710,522,349,769
"g34522",182,233,337,303,277,383,210,223,358
"g6738",2117,2422,2045,1498,1689,1388,945,1686,1192
"g6737",2224,2213,2529,1869,2284,2600,2277,1939,2598
"g6735",321,283,432,363,389,498,293,213,392
"g18963",29,39,38,29,54,73,81,5,125
"adi2mcaRNA10482_R1",101,76,128,70,73,48,36,87,51
"g367",1040,1018,1172,635,879,547,564,887,681
"adi2mcaRNA24690_R0",1621,1504,1140,751,877,1012,957,1244,1030
"adi2mcaRNA16033_R0",940,1030,1238,1256,1584,1952,1402,1135,1759
"g32806",527,450,448,360,343,509,508,335,577
"g32805",492,531,503,460,367,622,468,375,706
"g32803",100,104,95,109,70,176,109,71,134
"g14934",763,790,1162,951,886,1228,901,719,1345
"g16412",412,340,417,364,424,452,380,263,444
"g67646",366,426,469,496,350,650,413,315,638
"g41083",48,36,74,35,47,18,19,42,15
"g40913",15930,15638,16115,13728,12960,12550,9175,12980,12675
"g31726",1875,1742,2131,1735,1613,2172,1546,1319,2040
"g31721",2644,3468,3321,3123,3895,4733,3395,3005,4843
"adi2mcaRNA10492_R0",462,518,621,512,586,755,539,465,526
"g8635",646,526,637,417,366,711,496,417,787
"g67345",1657,1576,1226,981,1043,966,689,931,829
"g8633",492,381,657,297,424,234,184,479,274
"g46429",1683,1511,1738,1273,1432,1180,885,1333,1269
"g24062",680,611,713,588,586,899,676,475,815
"g28918",278,220,309,353,271,403,309,200,425
"g19795",232,152,448,130,231,95,106,305,105
"g22254",685,593,574,687,460,824,604,463,726
"g71129",171,178,242,209,150,253,207,161,280
"adi2mcaRNA12268_R9",583,450,509,388,413,247,229,389,331
"adi2mcaRNA12268_R0",563,507,644,591,633,304,297,622,422
"g21752",821,754,1816,1485,1110,1695,1541,897,1678
"g33815",53,73,122,114,123,141,89,50,144
"g33812",35,39,87,65,68,105,58,35,103
"g64701",580,540,630,651,394,860,625,454,766
"g27862",88,114,140,75,48,29,35,71,24
"adi2mcaRNA18655_R0",367,278,515,251,271,195,189,434,241
"g53354",285,243,204,161,214,142,104,244,191
"g53893",214,190,358,316,280,263,241,210,280
"g67664",501,574,634,607,513,740,610,379,703
"g39260",264,208,259,166,181,102,97,197,129
"g39264",681,798,900,935,1024,1136,886,799,1126
"g58865",175,128,189,141,106,78,51,107,78
"g17791",134,138,277,204,193,179,238,107,215
"g48618",12364,12966,14675,13428,13506,19415,13284,10981,14750
"g52747",324,210,322,317,258,291,293,227,435
"g57519",114,219,172,138,130,66,74,125,69
"g47167",1285,1072,1624,891,1073,775,714,1169,674
"adi2mcaRNA12029_R0",30,18,46,32,36,50,37,25,57
"g23246",117,110,98,76,49,33,28,59,22
"g5668",1837,1966,1297,972,1120,1180,930,1238,1092
"g55822",881,876,902,709,523,586,401,713,476
"g20534",1691,1646,1367,1203,1185,1121,785,987,1087
"adi2mcaRNA19014_R0",1416,1324,1465,927,1650,1717,1311,944,2116
"g42283",928,863,924,820,961,996,1068,618,978
"g42288",7591,7567,7986,5390,6609,5752,4386,6367,5799
"g36823",1682,1407,1980,998,1645,1119,821,1504,939
"g70157",1434,1066,1444,1499,1706,1602,1292,758,1511
"g31885",2127,2126,3072,2497,2376,3146,2030,1572,3496
"g31880",937,889,896,586,722,639,471,800,531
"g54030",5457,5764,6237,6429,7190,8979,5990,5322,8456
"g53825",1348,1040,1295,880,925,809,744,1019,826
"g59677",2053,2480,2956,2971,2383,2979,2229,1386,2796
"g62090",2592,3450,4913,4777,2828,4445,2865,2567,3879
"g62095",105,102,273,186,175,215,150,121,219
"adi2mcaRNA36018_R0",773,804,651,808,692,945,854,508,1061
"g37066",483,616,819,792,536,652,669,470,676
"g37061",384,259,504,320,351,211,136,379,250
"g37060",18723,17705,22024,14824,16911,14038,10014,17534,12747
"g29445",254,316,475,476,300,583,417,348,600
"g30756",115,86,105,81,85,69,28,127,75
"g37394",1003,910,1676,1463,1553,1872,1210,1276,1729
"adi2mcaRNA23243_R0",3202,3026,3348,3407,2222,4415,2965,1929,4539
"g67068",1546,1465,1775,1212,1474,1153,796,1227,1129
"g57001",3861,3886,5127,4343,4221,5452,3584,3261,4317
"g288",1209,1082,1214,1282,955,1589,1134,828,1619
"adi2mcaRNA4451_R1",825,970,1578,1179,1117,1157,807,793,1271
"g59678",762,1046,1237,1130,907,1074,1055,618,1141
"g20983",600,600,601,480,466,386,310,445,447
"g65354",896,750,935,455,682,401,329,641,443
"g37211",5037,5792,5141,5400,4771,7361,5388,2989,7844
"adi2mcaRNA20947_R1",179,220,82,62,58,76,48,55,40
"g60804",590,538,835,445,529,345,291,545,358
"g60803",4450,4277,4883,2811,3671,3280,2347,3980,2883
"g26586",1123,755,1361,659,892,569,549,1042,702
"g25161",47927,57813,68043,58473,61937,90294,70148,49415,74741
"adi2mcaRNA568_R9",61,33,50,42,24,23,19,55,17
"g12399",3398,2823,3868,2086,2700,1952,1857,2994,1964
"g54976",541,526,385,260,446,610,562,323,644
"g54972",597,605,691,650,456,671,546,300,758
"g63598",35,23,60,26,36,72,34,17,76
"adi2mcaRNA5128_R0",1649,1772,1930,1754,1481,2060,1343,1257,2127
"g17611",96,77,81,51,54,44,35,69,46
"g49073",11925,11000,10562,15204,13107,18471,11900,7813,15996
"adi2mcaRNA25316_R4",52,72,149,158,77,149,108,63,168
"adi2mcaRNA20645_R0",594,570,689,607,391,441,311,498,349
"g52465",1095,1017,1126,886,903,697,524,794,740
"g52462",1079,912,962,998,892,1306,980,574,1184
"g52461",1040,908,1494,1197,1283,1363,909,799,1281
"adi2mcaRNA10406_R0",2489,2717,3295,3254,2819,3141,2459,2229,3482
"g16052",4515,4308,5271,4760,5641,5860,4495,4552,5699
"adi2mcaRNA19002_R0",1187,874,1137,912,792,835,416,1111,774
"g41380",34,18,36,71,53,76,56,34,56
"g35980",158,124,110,60,91,67,60,97,71
"g35985",657,630,600,489,451,480,237,518,338
"g18678",145,122,122,83,95,75,57,101,66
"g30139",1453,1745,1994,2100,2006,3430,2516,1745,3287
"g46716",134,137,98,65,57,85,59,123,36
"adi2mcaRNA10970_R0",6483,6547,8383,6040,6885,7292,5794,5777,7582
"g37316",3671,3775,4549,3239,3530,3019,2255,3506,2926
"g37210",715,662,1047,1075,859,1500,1153,673,1583
"g38248",899,708,911,778,702,930,733,665,1015
"g38249",1296,1084,1723,1131,1236,895,711,1329,925
"g62353",91,90,139,158,80,202,121,48,225
"g62351",1004,775,739,590,591,517,381,570,416
"adi2mcaRNA13466_R0",3871,3227,4553,2376,3147,2088,1935,3423,2450
"g61772",908,1232,1549,1293,1106,1452,932,780,1232
"g24966",42,53,76,96,71,104,59,49,85
"g23464",437,444,416,301,270,284,126,349,271
"g67450",828,833,767,745,681,571,442,702,648
"adi2mcaRNA9101_R1",72,43,50,53,29,21,21,37,11
"g67455",142,162,38,19,22,21,7,4,8
"adi2mcaRNA21035_R0",486,514,539,370,399,338,297,484,294
"adi2mcaRNA21035_R1",459,465,484,330,376,312,277,427,268
"adi2mcaRNA21035_R2",369,387,387,265,292,250,204,345,207
"adi2mcaRNA2507_R0",1017,664,972,629,617,545,386,819,473
"g60228",983,921,1107,1035,603,708,487,880,615
"g69501",313,136,281,307,169,354,388,176,493
"g480",411,388,353,332,391,632,408,286,441
"g30144",4560,5458,4062,4442,2435,7527,5892,3127,4474
"g30094",1822,1584,2461,1325,1721,1106,955,1664,1282
"g61951",83,88,174,118,81,170,145,119,137
"g30099",364,414,595,557,494,673,508,298,860
"adi2mcaRNA28878_R0",568,507,1074,1058,857,878,620,485,873
"g7329",1236,1149,1685,821,1111,709,758,1187,766
"g4670",368,348,561,430,228,535,457,306,491
"g26421",240,197,296,251,233,389,247,139,293
"g26427",3937,3999,5024,4585,5362,6365,4941,4364,6004
"g3375",57,32,51,70,82,93,76,45,87
"g26272",1848,1817,1394,1252,928,1396,822,1367,1051
"adi2mcaRNA21299_R1",211,206,246,137,168,131,117,194,129
"adi2mcaRNA918_R2",222,257,358,219,312,156,89,225,187
"adi2mcaRNA918_R1",282,262,382,250,322,150,96,263,184
