yourlist:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	Entry
XP_015756304.1	UPI00077AD572
XP_020602249.1	UPI0009E41A64
XP_029203026.1	UPI0010FCA449
XP_029182388.1	UPI0010FC863B
XP_032220127.1	UPI0013900D08
XP_027044234.1	UPI000F556F28
XP_031567130.1	UPI0012B61EB7
XP_022783438.1	UPI000C050739
XP_020900065.1	UPI000A2A455F
XP_033124776.1	UPI00142556AE
XP_020624656.1	UPI0009E45B4A
XP_018411809.1	UPI000854F0B0
XP_014665126.1	UPI000719C157
XP_029200700.1	UPI0010FC7198
XP_015756450.1	UPI00077A7CBD
XP_029192990.1	UPI0010FC85BA
XP_020916388.2	UPI00109B75B6
XP_015756455.1	UPI00077A3B5A
XP_031549847.1	UPI0012B53E3F
XP_028459985.1	UPI00106E1396
XP_021340027.1	UPI000B45839E
XP_015756478.1	UPI00077A9B48
XP_022796394.1	UPI000C042837
XP_015772550.1	UPI00077A893E
XP_015765678.1	UPI00077A1FA1
XP_015778977.1	UPI00077AA8F3
XP_029180174.1	UPI0010FC6D15
XP_015756490.1	UPI00077ACFF3
XP_015756492.1	UPI00077A5CD1
XP_022668760.1	UPI000BE19742
XP_018909031.1	UPI0008F98D1C
XP_028395978.1	UPI001069B961
XP_029190510.1	UPI0010FCA344
XP_020601579.1	UPI0009E33BD4
XP_032233810.1	UPI0013903BF6
XP_029206091.1	UPI0010FC8129
XP_020631621.1	UPI0009E4C65C
XP_029206088.1	UPI0010FC71C6
XP_028415139.1	UPI00106A585E
XP_015756654.1	UPI00077A5E5C
XP_029184755.1	UPI0010FC8C8F
XP_003727728.1	UPI0002653190
XP_027045853.1	UPI000F5505FF
XP_022792166.1	UPI000C03C10E
XP_031571585.1	UPI0012B64DEF
XP_029203685.1	UPI0010FCC1BA
XP_034051633.1	UPI001471E720
XP_026035243.1	UPI000E40F14E
XP_022783337.1	UPI000C042E18
XP_029180527.1	UPI0010FCB93B
XP_015756717.1	UPI00077A42A0
XP_029200721.1	UPI0010FC7E46
XP_031562974.1	UPI0012B64250
XP_020624278.1	UPI0009E1AC08
XP_001632805.2	UPI001390139B
XP_028408418.1	UPI001069E668
XP_032236575.1	UPI00138FE641
XP_020897071.1	UPI000A2A78ED
XP_029189220.1	UPI0010FCA05F
XP_019644316.1	UPI00094808DB
XP_014663584.1	UPI000719AA56
XP_011447393.2	UPI00148ACD89
XP_027691922.1	UPI000FFDB438
XP_022781675.1	UPI000C049F36
XP_031559515.1	UPI0012B641A6
XP_020910543.1	UPI000A2A8987
XP_018977174.1	UPI0008FA0F9C
XP_029214458.1	UPI0010FCD6C1
XP_029214454.1	UPI0010FC92CD
XP_029192770.1	UPI0010FCA2D0
XP_029204325.1	UPI0010FC8A41
XP_027049206.1	UPI000F54D455
XP_015756934.1	UPI00077AAB65
XP_029187794.1	UPI0010FCA602
XP_020632432.1	UPI0009E5EB98
XP_034327529.1	UPI00148A37E8
XP_020632429.1	UPI0009E604DD
XP_031559125.1	UPI0012B65357
XP_027045746.1	UPI000F5509F2
XP_029182805.1	UPI0010FCA0C4
XP_029184170.1	UPI0010FCC40D
XP_029212878.1	UPI0010FC81F6
XP_015757002.1	UPI000779F416
XP_022309631.1	UPI000BAFDD80
XP_022791861.1	UPI000C050913
XP_015757343.1	UPI00077AB212
XP_029213885.1	UPI0010FC71DC
XP_028417721.1	UPI00106AB2B5
XP_009472400.1	UPI000510CFB4
XP_028390715.1	UPI0010691E47
XP_029180211.1	UPI0010FCACF2
XP_029197610.1	UPI0010FC6AF5
XP_015779224.1	UPI00077AE7FD
XP_020616969.1	UPI0009E61CC0
XP_029197405.1	UPI0010FC729A
XP_033118758.1	UPI001425B769
XP_022783101.1	UPI000C057963
XP_022781515.1	UPI000C046222
XP_006824156.1	UPI0003F0BCB7
XP_029198129.1	UPI0010FCC226
XP_032223678.1	UPI00138FC2FC
XP_022805001.1	UPI000C03E731
XP_029207650.1	UPI0010FC8D36
XP_029207658.1	UPI0010FC83A2
XP_015750021.1	UPI000779F800
XP_028407515.1	UPI00106ABF6C
XP_031575492.1	UPI0012B66E2B
XP_015751229.1	UPI00077A58EE
XP_015757122.1	UPI00077A6508
XP_022808717.1	UPI000C04053A
XP_015750145.1	UPI00077B2731
XP_015765381.1	UPI00077A77ED
XP_015752474.1	UPI00077A9831
WP_134357118.1	UPI00106A6B20
XP_032220076.1	UPI00139020F5
XP_022792009.1	UPI000C04F6EA
XP_015754491.1	UPI00077AE6BE
XP_002160578.1	UPI000192707D
XP_022782189.1	UPI000C04ACE5
XP_031555839.1	UPI0012B5F63C
XP_015779922.1	UPI00077A2FD5
XP_015757226.1	UPI00077A3B89
XP_029190597.1	UPI0010FCC58F
XP_006823989.1	UPI0003F09F09
XP_018611167.1	UPI000877F1AC
XP_015757766.1	UPI00077A22C6
XP_034466323.1	UPI00148D53BF
XP_022798902.1	UPI000C0466AD
XP_029197609.1	UPI0010FC950D
XP_015757284.1	UPI00077A463D
XP_028394404.1	UPI00106CB95A
XP_015771280.1	UPI00077A2D04
XP_028406801.1	UPI00106BCAD3
XP_029179592.1	UPI0010FC8068
XP_029212696.1	UPI0010FC9936
XP_029207005.1	UPI0010FCA0CC
XP_015757278.1	UPI00077A96E5
XP_008117684.1	UPI000462780B
XP_027044343.1	UPI000F41A922
XP_029195715.1	UPI0010FCAC73
XP_027044280.1	UPI000F54F4B9
XP_029191478.1	UPI0010FC6A14
XP_015757331.1	UPI00077AC4E3
XP_027041242.1	UPI000F5508AB
XP_022777909.1	UPI000C04D2D1
XP_020617859.1	UPI0009E2B1BD
XP_015757421.1	UPI00077A5917
XP_029195689.1	UPI0010FC8FC8
XP_029205926.1	UPI0010FCD143
XP_015502190.1	UPI0007711E54
XP_031573238.1	UPI0012B5408E
XP_020614476.1	UPI0009E20F31
XP_029205612.1	UPI0010FC70AB
XP_029205615.1	UPI0010FC99CC
XP_029205600.1	UPI0010FC8114
XP_015749260.1	UPI00077A0E5E
XP_020612447.1	UPI0009E28952
XP_029213486.1	UPI0010FC97D8
XP_029197750.1	UPI0010FCBDE8
XP_015748103.1	UPI00077A3A8F
XP_029199409.1	UPI0010FC9C3B
XP_028612834.1	UPI00109FEA4E
XP_027044347.1	UPI000F552FA5
XP_015770852.1	UPI00077ABE17
XP_029211930.1	UPI0010FC7656
XP_029211929.1	UPI0010FC8DE1
XP_029211926.1	UPI0010FCB4A2
XP_029211923.1	UPI0010FC7F41
XP_015757570.1	UPI00077A0EAE
XP_022103151.1	UPI000B91115F
XP_029211888.1	UPI0010FCDAD8
XP_020614279.1	UPI0009E1B00D
XP_029211865.1	UPI0010FC7186
XP_022803203.1	UPI000C042059
XP_019622312.1	UPI000947D4B4
XP_022792435.1	UPI000C056B33
XP_015757696.1	UPI00077AED83
XP_029189010.1	UPI0010FC8564
XP_013784134.1	UPI0006B0930D
XP_015748360.1	UPI00077A645B
XP_032236937.1	UPI0013905E97
XP_029200189.1	UPI0010FC8017
XP_029199155.1	UPI0010FCB3B8
XP_031550432.1	UPI0012B565D8
XP_029197108.1	UPI0010FCD474
XP_027042558.1	UPI000F556BDB
XP_029198324.1	UPI0010FC7F21
