id,term,cluster
GO:0006334,nucleosome assembly,1
GO:0040001,establishment of mitotic spindle localization,1
GO:0000070,mitotic sister chromatid segregation,1
GO:0007051,spindle organization,1
GO:0000027,ribosomal large subunit assembly,1
GO:0034080,CENP-A containing nucleosome assembly,1
GO:0031110,regulation of microtubule polymerization or depolymerization,1
GO:0060271,cilium assembly,1
GO:0051382,kinetochore assembly,1
GO:0007017,microtubule-based process,2
GO:0007034,vacuolar transport,2
GO:0050482,arachidonic acid secretion,2
GO:0072321,chaperone-mediated protein transport,2
GO:0060294,cilium movement involved in cell motility,2
GO:0006275,regulation of DNA replication,3
GO:0006801,superoxide metabolic process,3
GO:0006352,"DNA-templated transcription, initiation",3
GO:0006487,protein N-linked glycosylation,3
GO:0009263,deoxyribonucleotide biosynthetic process,3
GO:1990426,mitotic recombination-dependent replication fork processing,3
GO:0006644,phospholipid metabolic process,3
GO:0009890,negative regulation of biosynthetic process,3
GO:1903507,negative regulation of nucleic acid-templated transcription,3
GO:0009395,phospholipid catabolic process,3
GO:0055114,oxidation-reduction process,3
GO:0006231,dTMP biosynthetic process,3
GO:0042779,tRNA 3'-trailer cleavage,3
GO:0046488,phosphatidylinositol metabolic process,3
GO:0000122,negative regulation of transcription by RNA polymerase II,3
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",3
GO:0006165,nucleoside diphosphate phosphorylation,3
GO:0006183,GTP biosynthetic process,3
GO:0006228,UTP biosynthetic process,3
GO:0006241,CTP biosynthetic process,3
GO:0006955,immune response,4
GO:0006979,response to oxidative stress,4
GO:0002224,toll-like receptor signaling pathway,4
GO:0000281,mitotic cytokinesis,5
GO:0006457,protein folding,5
GO:0007059,chromosome segregation,5
