"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006334",1.97065581230923e-19,1,13,41,"nucleosome assembly","BP"
"GO:0007017",2.22052209369132e-05,0.999999371304998,4,30,"microtubule-based process","BP"
"GO:0006275",0.000367649721076554,0.999997761138278,2,5,"regulation of DNA replication","BP"
"GO:0072488",0.00172151350587382,0.999970337863912,2,12,"ammonium transmembrane transport","BP"
"GO:0006801",0.00184780383229674,0.999966608552648,2,13,"superoxide metabolic process","BP"
"GO:0006352",0.00302655615643474,0.99992896610703,2,14,"DNA-templated transcription, initiation","BP"
"GO:0007034",0.00318356906862965,0.999923322936949,2,14,"vacuolar transport","BP"
"GO:0050482",0.00485285099567414,0.999851713862391,2,17,"arachidonic acid secretion","BP"
"GO:0006644",0.00544490698085663,0.999822493891599,2,18,"phospholipid metabolic process","BP"
"GO:0040001",0.00558672786227835,1,1,1,"establishment of mitotic spindle localization","BP"
"GO:0009263",0.00564344685603395,1,1,1,"deoxyribonucleotide biosynthetic process","BP"
"GO:1990426",0.00578429160842313,1,1,1,"mitotic recombination-dependent replication fork processing","BP"
"GO:0006955",0.00587250309831408,0.999799974788859,2,19,"immune response","BP"
"GO:0009890",0.00637599637938873,1,1,1,"negative regulation of biosynthetic process","BP"
"GO:1903507",0.00638709062766224,1,1,1,"negative regulation of nucleic acid-templated transcription","BP"
"GO:0055114",0.00734520072897646,0.997364259897918,11,867,"oxidation-reduction process","BP"
"GO:0009395",0.00812404616023199,0.999983486128626,1,2,"phospholipid catabolic process","BP"
"GO:0000281",0.00826217909185602,0.999982918593804,1,2,"mitotic cytokinesis","BP"
"GO:0006979",0.0103687063000456,0.999510092639012,2,31,"response to oxidative stress","BP"
"GO:0006231",0.0117414723592941,0.999965442427453,1,2,"dTMP biosynthetic process","BP"
"GO:0000070",0.0117556789955218,0.999965358501684,1,2,"mitotic sister chromatid segregation","BP"
"GO:0007051",0.0118868157119514,0.999964578975861,1,2,"spindle organization","BP"
"GO:0000027",0.0123310593487353,0.999961873363239,1,2,"ribosomal large subunit assembly","BP"
"GO:0072321",0.0127554674438425,0.999959194959403,1,2,"chaperone-mediated protein transport","BP"
"GO:0060294",0.0163202279260167,0.999910854548603,1,3,"cilium movement involved in cell motility","BP"
"GO:0042779",0.0176523377918815,0.99989564521377,1,3,"tRNA 3'-trailer cleavage","BP"
"GO:0046488",0.0235401249699101,0.99977694948569,1,5,"phosphatidylinositol metabolic process","BP"
"GO:0000122",0.0237476292283339,0.999787083852261,1,4,"negative regulation of transcription by RNA polymerase II","BP"
"GO:0031110",0.0238850380416745,0.999784600183087,1,4,"regulation of microtubule polymerization or depolymerization","BP"
"GO:0006122",0.0252378352248347,0.999759371200062,1,4,"mitochondrial electron transport, ubiquinol to cytochrome c","BP"
"GO:0002224",0.0307971526285895,0.999617090462436,1,5,"toll-like receptor signaling pathway","BP"
"GO:0060271",0.0356316400891184,0.999450114718463,1,7,"cilium assembly","BP"
"GO:0006165",0.0356835089091345,0.99946366600493,1,6,"nucleoside diphosphate phosphorylation","BP"
"GO:0006183",0.0356835089091345,0.99946366600493,1,6,"GTP biosynthetic process","BP"
"GO:0006228",0.0356835089091345,0.99946366600493,1,6,"UTP biosynthetic process","BP"
"GO:0006457",0.039029499879728,0.996198473962535,2,55,"protein folding","BP"
"GO:0006241",0.0402373767524427,0.999297502302708,1,7,"CTP biosynthetic process","BP"
"GO:0007059",0.0414232245992795,0.999255137761235,1,7,"chromosome segregation","BP"
"GO:0051382",0.0421355126053472,0.999229085047868,1,7,"kinetochore assembly","BP"
"GO:0000786",1.69625553618224e-22,1,15,46,"nucleosome","CC"
"GO:0000776",0.000478751033601215,0.999996375188903,2,6,"kinetochore","CC"
"GO:0005874",0.00118886742034502,0.99994380425555,3,39,"microtubule","CC"
"GO:0032133",0.00579045573621547,1,1,1,"chromosome passenger complex","CC"
"GO:0051233",0.00579045573621547,1,1,1,"spindle midzone","CC"
"GO:0000940",0.00604450496097953,1,1,1,"condensed chromosome outer kinetochore","CC"
"GO:0000811",0.00617012015730261,1,1,1,"GINS complex","CC"
"GO:1990879",0.00631001335551884,1,1,1,"CST complex","CC"
"GO:0005819",0.0118208808712748,0.999964972007907,1,2,"spindle","CC"
"GO:0033551",0.0121320119480647,0.999963098024579,1,2,"monopolin complex","CC"
"GO:0030286",0.013311454155007,0.999274093702738,2,42,"dynein complex","CC"
"GO:0001534",0.0163202279260167,0.999910854548603,1,3,"radial spoke","CC"
"GO:0032299",0.0179632321737802,0.999891921858263,1,3,"ribonuclease H2 complex","CC"
"GO:0005750",0.0190344021851366,0.999878589114788,1,3,"mitochondrial respiratory chain complex III","CC"
"GO:0005758",0.0252024696126354,0.999760048722671,1,4,"mitochondrial intermembrane space","CC"
"GO:0070652",0.0447925848855689,0.999109952416693,1,8,"HAUS complex","CC"
"GO:0000775",0.0479877201654368,0.998961178116158,1,9,"chromosome, centromeric region","CC"
"GO:0005525",1.1120162215705e-05,0.999998172016381,11,385,"GTP binding","MF"
"GO:0003924",3.29529502415904e-05,0.999995170498596,9,280,"GTPase activity","MF"
"GO:0030337",3.58220952843149e-05,1,2,2,"DNA polymerase processivity factor activity","MF"
"GO:0003677",9.81333689185823e-05,0.999966025626914,21,1447,"DNA binding","MF"
"GO:0003714",0.000169070920080008,0.999999400588504,2,4,"transcription corepressor activity","MF"
"GO:0016614",0.00216021116795512,0.999956957275482,2,15,"oxidoreductase activity, acting on CH-OH group of donors","MF"
"GO:0004601",0.00328359880468102,0.999916651434943,2,20,"peroxidase activity","MF"
"GO:0008519",0.00484026848880091,0.999850750620121,2,19,"ammonium transmembrane transporter activity","MF"
"GO:0004623",0.00523337181821902,0.999832835389328,2,18,"phospholipase A2 activity","MF"
"GO:0020037",0.0056775654058043,0.998998503713325,5,225,"heme binding","MF"
"GO:0005200",0.00812312343779717,0.999665173171433,2,26,"structural constituent of cytoskeleton","MF"
"GO:0003697",0.0085069145372976,0.999640862294282,2,26,"single-stranded DNA binding","MF"
"GO:0004451",0.0109444183335801,0.999969987073209,1,2,"isocitrate lyase activity","MF"
"GO:0016891",0.0113894481189827,0.999967489315797,1,2,"endoribonuclease activity, producing 5'-phosphomonoesters","MF"
"GO:0004799",0.0117414723592941,0.999965442427453,1,2,"thymidylate synthase activity","MF"
"GO:0000150",0.0177068351431563,0.999894997293959,1,3,"recombinase activity","MF"
"GO:0004859",0.0188263323221375,0.999881240124748,1,3,"phospholipase inhibitor activity","MF"
"GO:0051082",0.0204283068385551,0.998606993919816,2,40,"unfolded protein binding","MF"
"GO:0005542",0.022438517132174,0.99981001698927,1,4,"folic acid binding","MF"
"GO:0005509",0.0231308029348696,0.991206002136508,9,826,"calcium ion binding","MF"
"GO:0003779",0.0240516156197676,0.998205381159758,2,44,"actin binding","MF"
"GO:0046982",0.0268413441835212,0.9978765905706,2,44,"protein heterodimerization activity","MF"
"GO:0016307",0.0296736298862581,0.999630001872439,1,6,"phosphatidylinositol phosphate kinase activity","MF"
"GO:0016740",0.0305767984300779,0.997400777096095,2,47,"transferase activity","MF"
"GO:0016538",0.0306394362804337,0.99962102679757,1,5,"cyclin-dependent protein serine/threonine kinase regulator activity","MF"
"GO:0004715",0.03399356722279,0.999499832649065,1,7,"non-membrane spanning protein tyrosine kinase activity","MF"
"GO:0004550",0.0356835089091345,0.99946366600493,1,6,"nucleoside diphosphate kinase activity","MF"
"GO:0008094",0.0394044961338474,0.999326504071414,1,7,"DNA-dependent ATPase activity","MF"
